,"unit,age,sex,geo\time",2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 
0,"PC,TOTAL,F,AL",: ,48.1 ,52.9 ,55.7,60.3 ,: ,: 
1,"PC,TOTAL,F,AT",18.1 ,17.1 ,17.6 ,17.7,18.3 ,18.1 ,17.4 
2,"PC,TOTAL,F,BE",19.4 ,20.9 ,20.6 b,21.7,23.7 ,24.1 ,22.8 
3,"PC,TOTAL,F,BG",33.9 ,35.9 ,35.4 ,35.5,40.4 ,43.2 b,45.6 
4,"PC,TOTAL,F,CH",: ,19.1 ,19.2 ,18.1,19.2 ,19.1 ,19.8 
5,"PC,TOTAL,F,CY",18.7 ,18.6 ,19.9 ,20.2,22.6 ,23.7 ,24.0 
6,"PC,TOTAL,F,CZ",12.1 ,13.7 ,14.2 ,13.7,13.5 ,13.4 ,14.3 
7,"PC,TOTAL,F,DE",21.5 ,21.2 b,18.4 ,19.6,20.1 ,21.3 ,21.3 
8,"PC,TOTAL,F,DK",18.1 ,17.2 b,17.2 ,17.4,17.4 ,18.2 ,19.1 
9,"PC,TOTAL,F,EA",: ,22.5 b,21.8 ,22.4,22.8 ,23.9 ,23.9 
10,"PC,TOTAL,F,EA18",: ,22.5 b,21.8 ,22.3,22.7 ,23.8 ,23.8 
11,"PC,TOTAL,F,EA19",22.8 ,22.5 b,21.8 ,22.4,22.8 ,23.9 ,23.9 
12,"PC,TOTAL,F,EE",24.7 ,24.2 ,25.7 ,26.0,25.6 ,25.5 ,25.5 
13,"PC,TOTAL,F,EL",29.2 ,28.6 ,30.1 ,31.3,32.9 ,33.4 ,33.1 
14,"PC,TOTAL,F,ES",28.9 ,28.1 ,27.2 ,28.4,28.3 ,28.9 ,28.5 
15,"PC,TOTAL,F,EU",: ,: ,: ,22.9,23.3 ,24.5 ,24.8 
16,"PC,TOTAL,F,EU27_2020",22.6 ,22.6 b,22.1 ,22.7,23.4 ,24.7 ,24.9 
17,"PC,TOTAL,F,EU28",: ,: ,: ,22.9,23.3 ,24.5 ,24.8 
18,"PC,TOTAL,F,FI",14.0 ,15.6 ,15.7 ,16.9,16.1 ,16.5 ,16.9 
19,"PC,TOTAL,F,FR",20.3 ,20.1 b,19.8 ,18.6,18.8 ,19.9 ,19.6 
20,"PC,TOTAL,F,HR",23.0 ,21.9 ,22.0 ,23.4,24.8 ,24.6 ,25.2 
21,"PC,TOTAL,F,HU",20.1 ,19.4 ,20.8 ,21.1,26.5 ,29.4 ,31.2 
22,"PC,TOTAL,F,IE",21.2 ,21.3 b,21.7 ,22.7,23.7 ,25.0 ,26.1 
23,"PC,TOTAL,F,IS",: ,: ,: ,11.8,13.5 ,12.3 ,13.2 
24,"PC,TOTAL,F,IT",25.8 p,26.2 ,25.8 ,26.7,26.9 ,28.8 ,29.5 
25,"PC,TOTAL,F,LT",26.1 ,26.7 ,27.8 ,31.0,31.7 ,31.7 ,30.2 
26,"PC,TOTAL,F,LU",21.7 b,20.7 b,21.3 ,21.9,20.9 ,20.2 b,19.6 
27,"PC,TOTAL,F,LV",29.2 ,27.6 ,29.1 ,31.0,31.4 ,30.3 ,32.5 
28,"PC,TOTAL,F,ME",: ,38.4 ,37.4 ,42.1,42.2 ,43.4 ,44.9 
29,"PC,TOTAL,F,MK",: ,32.7 ,34.9 ,35.6,37.4 ,39.2 ,42.1 
30,"PC,TOTAL,F,MT",21.9 ,21.8 ,22.6 ,21.1,20.3 ,20.7 ,23.2 
31,"PC,TOTAL,F,NL",16.8 ,16.4 ,16.9 ,16.9,17.0 ,16.9 b,16.8 
32,"PC,TOTAL,F,NO",: ,17.5 ,16.3 ,16.4,16.2 ,16.1 ,16.2 
33,"PC,TOTAL,F,PL",17.6 p,17.9 ,18.5 ,18.8,18.9 ,21.1 ,22.5 
34,"PC,TOTAL,F,PT",23.5 ,20.9 ,22.2 ,22.8,24.4 ,26.2 ,27.7 
35,"PC,TOTAL,F,RO",36.2 ,37.5 ,37.8 ,40.3,44.2 ,47.6 ,45.4 
36,"PC,TOTAL,F,RS",: ,30.7 ,32.1 ,34.1,40.1 ,29.1 ,40.6 
37,"PC,TOTAL,F,SE",18.2 ,18.8 ,19.1 ,19.0,17.7 ,18.9 ,19.5 
38,"PC,TOTAL,F,SI",14.0 ,15.2 ,14.8 ,16.3,17.8 ,18.2 ,18.9 
39,"PC,TOTAL,F,SK",16.2 ,14.2 ,15.6 ,15.3,15.8 ,17.2 ,17.5 
40,"PC,TOTAL,F,TR",: ,36.1 ,35.0 ,34.5,34.3 ,28.6 ,28.5 
41,"PC,TOTAL,F,UK",: ,: ,: ,24.0,22.7 b,23.0 ,23.9 
42,"PC,TOTAL,M,AL",: ,44.2 ,48.7 ,52.2,56.7 ,: ,: 
43,"PC,TOTAL,M,AT",16.4 ,16.3 ,15.3 ,15.9,15.9 ,16.3 ,16.4 
44,"PC,TOTAL,M,BE",18.2 ,19.7 ,19.4 b,19.4,20.3 ,20.3 ,20.5 
45,"PC,TOTAL,M,BG",29.4 ,31.2 ,30.9 ,30.4,35.5 ,38.7 b,40.9 
46,"PC,TOTAL,M,CH",: ,17.6 ,18.6 ,17.0,17.2 ,16.3 ,16.6 
47,"PC,TOTAL,M,CY",15.8 ,16.6 ,17.2 ,18.0,20.1 ,21.4 ,21.6 
48,"PC,TOTAL,M,CZ",9.3 ,9.3 ,10.0 ,9.8,10.6 ,11.3 ,11.6 
49,"PC,TOTAL,M,DE",19.9 ,19.5 b,16.1 ,17.4,17.4 ,18.3 ,18.6 
50,"PC,TOTAL,M,DK",16.4 ,16.4 b,17.3 ,17.5,18.2 ,16.9 ,18.0 
51,"PC,TOTAL,M,EA",: ,20.6 b,19.7 ,20.3,20.7 ,21.7 ,22.0 
52,"PC,TOTAL,M,EA18",: ,20.6 b,19.6 ,20.3,20.6 ,21.6 ,21.9 
